,Year,Continent,Disaster Type,Number of Disasters,Difference from Previous Year,% Difference from Previous Year
418,1993,Asia,Storm,52,20.0,62.5
419,1993,Europe,Drought,2,0.0,0.0
420,1993,Europe,Flood,14,-19.0,-57.57575757575758
421,1993,Europe,Landslide,2,-13.0,-86.66666666666667
422,1993,Europe,Storm,13,-39.0,-75.0
423,1993,Oceania,Flood,2,-12.0,-85.71428571428571
424,1993,Oceania,Storm,7,-6.0,-46.15384615384615
425,1994,Africa,Drought,1,-1.0,-50.0
426,1994,Africa,Flood,18,16.0,800.0
427,1994,Africa,Landslide,1,-1.0,-50.0
428,1994,Africa,Storm,8,1.0,14.285714285714285
429,1994,Africa,Wildfire,1,-1.0,-50.0
430,1994,Americas,Drought,8,7.0,700.0
431,1994,Americas,Flood,12,-6.0,-33.33333333333333
432,1994,Americas,Landslide,3,2.0,200.0
433,1994,Americas,Storm,17,9.0,112.5
434,1994,Americas,Wildfire,6,5.0,500.0
435,1994,Asia,Drought,3,-5.0,-62.5
436,1994,Asia,Flood,39,27.0,225.0
437,1994,Asia,Landslide,7,4.0,133.33333333333331
438,1994,Asia,Storm,40,23.0,135.29411764705884
439,1994,Asia,Wildfire,1,-5.0,-83.33333333333334
440,1994,Europe,Flood,18,-21.0,-53.84615384615385
441,1994,Europe,Storm,12,-28.0,-70.0
442,1994,Europe,Wildfire,3,2.0,200.0
443,1994,Oceania,Flood,1,-17.0,-94.44444444444444
444,1994,Oceania,Storm,4,-8.0,-66.66666666666666
445,1994,Oceania,Wildfire,2,-1.0,-33.33333333333333
446,1995,Africa,Drought,4,1.0,33.33333333333333
447,1995,Africa,Flood,20,19.0,1900.0
448,1995,Africa,Storm,2,-2.0,-50.0
449,1995,Africa,Wildfire,1,-1.0,-50.0
450,1995,Americas,Drought,1,-3.0,-75.0
451,1995,Americas,Flood,22,2.0,10.0
452,1995,Americas,Landslide,4,-3.0,-42.857142857142854
453,1995,Americas,Storm,39,37.0,1850.0
454,1995,Americas,Wildfire,2,1.0,100.0
455,1995,Asia,Drought,1,0.0,0.0
456,1995,Asia,Flood,45,23.0,104.54545454545455
457,1995,Asia,Landslide,9,5.0,125.0
458,1995,Asia,Storm,26,-13.0,-33.33333333333333
459,1995,Asia,Wildfire,3,1.0,50.0
460,1995,Europe,Flood,7,-38.0,-84.44444444444444
461,1995,Europe,Landslide,3,-6.0,-66.66666666666666
